t,x
1.642821410705352754e-05,2.691911664369517468e-40
1.643821910955477712e-05,2.491414271987791325e-40
1.644822411205603010e-05,2.051448506472575832e-40
1.645822911455727968e-05,1.526604362950310554e-40
1.646823411705852926e-05,1.019448164074808828e-40
1.647823911955978223e-05,5.883985379390536712e-41
1.648824412206103182e-05,2.581366422915291249e-41
1.649824912456228140e-05,3.016620793351098167e-42
1.650825412706353437e-05,-1.079134086198055161e-41
1.651825912956478396e-05,-1.751065008167454473e-41
1.652826413206603354e-05,-1.918416472505340469e-41
1.653826913456728313e-05,-1.767247044462342136e-41
1.654827413706853610e-05,-1.448593077039966013e-41
1.655827913956978568e-05,-1.073135899320180094e-41
1.656828414207103526e-05,-7.133366519296020361e-42
1.657828914457228824e-05,-4.096980750685028105e-42
1.658829414707353782e-05,-1.786383943315701206e-42
1.659829914957478740e-05,-2.028138257581740142e-43
1.660830415207604038e-05,7.482639415744331134e-43
1.661830915457728996e-05,1.205126476129940847e-42
1.662831415707853954e-05,1.313511988214269588e-42
1.663831915957979252e-05,1.204365162362806305e-42
1.664832416208104210e-05,9.827475082096301953e-43
1.665832916458229168e-05,7.247573617023548639e-43
1.666833416708354127e-05,4.795492810191691943e-43
1.667833916958479424e-05,2.740718294516621285e-43
1.668834417208604382e-05,1.187688340206733963e-43
1.669834917458729341e-05,1.308907691575665027e-44
1.670835417708854638e-05,-4.984584210170267126e-44
1.671835917958979596e-05,-7.968382953894412561e-44
1.672836418209104555e-05,-8.640407898120890576e-44
1.673836918459229852e-05,-7.885490447954283081e-44
1.674837418709354810e-05,-6.405414781725725737e-44
1.675837918959479768e-05,-4.702623758878589707e-44
1.676838419209605066e-05,-3.097285648429087249e-44
1.677838919459730024e-05,-1.761460871364738169e-44
1.678839419709854982e-05,-7.586346033886981738e-45
1.679839919959979941e-05,-8.108340455276963790e-46
1.680840420210105238e-05,3.190053439855919038e-45
1.681840920460230196e-05,5.061916728912733235e-45
1.682841420710355155e-05,5.460639575016732538e-45
1.683841920960480452e-05,4.960310258743907665e-45
1.684842421210605410e-05,4.011089240561067887e-45
1.685842921460730369e-05,2.931551427844552722e-45
1.686843421710855666e-05,1.921934505196306531e-45
1.687843921960980624e-05,1.087651385948668297e-45
1.688844422211105583e-05,4.655487910472454969e-46
1.689844922461230880e-05,4.821043907501087016e-47
1.690845422711355838e-05,-1.961381456680000057e-46
1.691845922961480797e-05,-3.089349488439162188e-46
1.692846423211605755e-05,-3.315597827381880088e-46
1.693846923461731052e-05,-2.997771877733645754e-46
1.694847423711856011e-05,-2.413165745234271716e-46
1.695847923961980969e-05,-1.755757310610348619e-46
1.696848424212106266e-05,-1.145790487016002820e-46
1.697848924462231224e-05,-6.452299824580510299e-47
1.698849424712356183e-05,-2.744732900106244560e-47
1.699849924962481480e-05,-2.751113585532654768e-48
1.700850425212606438e-05,1.158567759532101882e-47
