t f_inst
1.509754877438719399e-05 2.785966750000000000e+06
1.510755377688844526e-05 2.785966750000000000e+06
1.511755877938969654e-05 2.785966750000000000e+06
1.512756378189094613e-05 2.785966750000000000e+06
1.513756878439219740e-05 2.785966750000000000e+06
1.514757378689344699e-05 2.785966750000000000e+06
1.515757878939469826e-05 2.785966750000000000e+06
1.516758379189594954e-05 2.785966750000000000e+06
1.517758879439719913e-05 2.785966750000000000e+06
1.518759379689845040e-05 2.785966750000000000e+06
1.519759879939970168e-05 2.785966750000000000e+06
1.520760380190095127e-05 2.785966750000000000e+06
1.521760880440220254e-05 2.785966750000000000e+06
1.522761380690345213e-05 2.785966750000000000e+06
1.523761880940470341e-05 2.785966750000000000e+06
1.524762381190595468e-05 2.785966750000000000e+06
1.525762881440720427e-05 2.785966750000000000e+06
1.526763381690845385e-05 2.785966750000000000e+06
1.527763881940970682e-05 2.785966750000000000e+06
1.528764382191095641e-05 2.785966750000000000e+06
1.529764882441220599e-05 2.785966750000000000e+06
1.530765382691345896e-05 2.785966750000000000e+06
1.531765882941470855e-05 2.785966750000000000e+06
1.532766383191595813e-05 2.785966750000000000e+06
1.533766883441721110e-05 2.785966750000000000e+06
1.534767383691846069e-05 2.785966750000000000e+06
1.535767883941971027e-05 2.785966750000000000e+06
1.536768384192095985e-05 2.785966750000000000e+06
1.537768884442221282e-05 2.785966750000000000e+06
1.538769384692346241e-05 2.785966750000000000e+06
1.539769884942471199e-05 2.785966750000000000e+06
1.540770385192596496e-05 2.785966750000000000e+06
1.541770885442721455e-05 2.785966750000000000e+06
1.542771385692846413e-05 2.785966750000000000e+06
1.543771885942971710e-05 2.785966750000000000e+06
1.544772386193096669e-05 2.785966750000000000e+06
1.545772886443221627e-05 2.785966750000000000e+06
1.546773386693346924e-05 2.785966750000000000e+06
1.547773886943471883e-05 2.785966750000000000e+06
1.548774387193596841e-05 2.785966750000000000e+06
1.549774887443721799e-05 2.785966750000000000e+06
1.550775387693847097e-05 2.785966750000000000e+06
1.551775887943972055e-05 2.785966750000000000e+06
1.552776388194097013e-05 2.785966750000000000e+06
1.553776888444222311e-05 2.726269250000000000e+06
1.554777388694347269e-05 2.726269250000000000e+06
1.555777888944472227e-05 2.726269250000000000e+06
1.556778389194597524e-05 2.726269250000000000e+06
1.557778889444722483e-05 2.726269250000000000e+06
1.558779389694847441e-05 2.726269250000000000e+06
1.559779889944972738e-05 2.726269250000000000e+06
1.560780390195097697e-05 2.726269250000000000e+06
1.561780890445222655e-05 2.726269250000000000e+06
1.562781390695347614e-05 2.726269250000000000e+06
1.563781890945472911e-05 2.726269250000000000e+06
1.564782391195597869e-05 2.726269250000000000e+06
1.565782891445722827e-05 2.726269250000000000e+06
1.566783391695848125e-05 2.726269250000000000e+06
1.567783891945973083e-05 2.726269250000000000e+06
1.568784392196098041e-05 2.726269250000000000e+06
1.569784892446223339e-05 2.726269250000000000e+06
1.570785392696348297e-05 2.726269250000000000e+06
1.571785892946473255e-05 2.726269250000000000e+06
1.572786393196598553e-05 2.726269250000000000e+06
1.573786893446723511e-05 2.726269250000000000e+06
1.574787393696848469e-05 2.726269250000000000e+06
1.575787893946973428e-05 2.726269250000000000e+06
1.576788394197098725e-05 2.726269250000000000e+06
1.577788894447223683e-05 2.726269250000000000e+06
1.578789394697348642e-05 2.726269250000000000e+06
1.579789894947473939e-05 2.726269250000000000e+06
1.580790395197598897e-05 2.726269250000000000e+06
1.581790895447723856e-05 2.726269250000000000e+06
1.582791395697849153e-05 2.726269250000000000e+06
1.583791895947974111e-05 2.726269250000000000e+06
1.584792396198099070e-05 2.726269250000000000e+06
1.585792896448224367e-05 2.726269250000000000e+06
1.586793396698349325e-05 2.726269250000000000e+06
1.587793896948474283e-05 2.726269250000000000e+06
1.588794397198599242e-05 2.726269250000000000e+06
1.589794897448724539e-05 2.726269250000000000e+06
1.590795397698849497e-05 2.726269250000000000e+06
1.591795897948974456e-05 2.726269250000000000e+06
1.592796398199099753e-05 2.726269250000000000e+06
1.593796898449224711e-05 2.726269250000000000e+06
1.594797398699349670e-05 2.726269250000000000e+06
1.595797898949474967e-05 2.726269250000000000e+06
1.596798399199599925e-05 2.726269250000000000e+06
1.597798899449724884e-05 2.726269250000000000e+06
1.598799399699850181e-05 2.726269250000000000e+06
