Time(s), Amplitude
0.0180200, 0.5877853
0.0180400, 0.9510565
0.0180600, 0.9510565
0.0180800, 0.5877853
0.0181000, -0.0000000
0.0181200, -0.5877853
0.0181400, -0.9510565
0.0181600, -0.9510565
0.0181800, -0.5877853
0.0182000, -0.0000000
0.0182200, 0.5877853
0.0182400, 0.9510565
0.0182600, 0.9510565
0.0182800, 0.5877853
0.0183000, 0.0000000
0.0183200, -0.5877853
0.0183400, -0.9510565
0.0183600, -0.9510565
0.0183800, -0.5877853
0.0184000, 0.0000000
0.0184200, 0.5877853
0.0184400, 0.9510565
0.0184600, 0.9510565
0.0184800, 0.5877853
0.0185000, -0.0000000
0.0185200, -0.5877853
0.0185400, -0.9510565
0.0185600, -0.9510565
0.0185800, -0.5877853
0.0186000, 0.0000000
0.0186200, 0.5877853
0.0186400, 0.9510565
0.0186600, 0.9510565
0.0186800, 0.5877853
0.0187000, -0.0000000
0.0187200, -0.5877853
0.0187400, -0.9510565
0.0187600, -0.9510565
0.0187800, -0.5877853
0.0188000, 0.0000000
0.0188200, 0.5877853
0.0188400, 0.9510565
0.0188600, 0.9510565
0.0188800, 0.5877853
0.0189000, -0.0000000
0.0189200, -0.5877853
0.0189400, -0.9510565
0.0189600, -0.9510565
0.0189800, -0.5877853
0.0190000, 0.0000000
0.0190200, 0.5877853
0.0190400, 0.9510565
0.0190600, 0.9510565
0.0190800, 0.5877853
0.0191000, -0.0000000
0.0191200, -0.5877853
0.0191400, -0.9510565
0.0191600, -0.9510565
0.0191800, -0.5877853
0.0192000, 0.0000000
0.0192200, 0.5877853
0.0192400, 0.9510565
0.0192600, 0.9510565
0.0192800, 0.5877853
0.0193000, -0.0000000
0.0193200, -0.5877853
0.0193400, -0.9510565
0.0193600, -0.9510565
0.0193800, -0.5877853
0.0194000, -0.0000000
0.0194200, 0.5877853
0.0194400, 0.9510565
0.0194600, 0.9510565
0.0194800, 0.5877853
0.0195000, 0.0000000
0.0195200, -0.5877853
0.0195400, -0.9510565
0.0195600, -0.9510565
0.0195800, -0.5877853
0.0196000, 0.0000000
0.0196200, 0.5877853
0.0196400, 0.9510565
0.0196600, 0.9510565
0.0196800, 0.5877853
0.0197000, -0.0000000
0.0197200, -0.5877853
0.0197400, -0.9510565
0.0197600, -0.9510565
0.0197800, -0.5877853
0.0198000, 0.0000000
0.0198200, 0.5877853
0.0198400, 0.9510565
0.0198600, 0.9510565
0.0198800, 0.5877853
0.0199000, -0.0000000
0.0199200, -0.5877853
0.0199400, -0.9510565
0.0199600, -0.9510565
0.0199800, -0.5877853
0.0200000, 0.0000000
0.0200200, 0.5877853
0.0200400, 0.9510565
0.0200600, 0.9510565
0.0200800, 0.5877853
0.0201000, -0.0000000
0.0201200, -0.5877853
0.0201400, -0.9510565
0.0201600, -0.9510565
0.0201800, -0.5877853
0.0202000, 0.0000000
0.0202200, 0.5877853
0.0202400, 0.9510565
0.0202600, 0.9510565
